1,and who are you?
3,merci
0,sure!
12,have a nice day
0,hm, i'd like that
15,are you okay
2,hi
1,what is your name?
15,how is your evening
2,hey let's talk
5,no I haven't decided yet if I want to sign up
1,can i call you something?
7,i'd like to cancel a future vacation
4,how many days i have already used up?
0,yep if i have to
0,yep
6,are you a bot?
2,Hellllooooooo
10,book holiday
4,how many days i have already taken?
13,Why do you exist?
4,how many vacation days do i have left?
2,heyho
0,jo
3,thanks!
2,good morning
6,what are you?
8,pardon
13,don't you want to help me?
15,How are you?
12,laters
3,thanks a bunch for everything
2,heyo
15,How've you been?
0,accept
2,aloha
2,good morning
4,how many leaves do i have planned?
12,that's all goodbye
4,days left for vacation
2,jojojo
9,how stupid are you?
2,helloooo
15,how's your day going
5,NEIN
3,great thanks
14,Do you always work?
0,I accept
3,thanks for forum link, I'll check it out
0,yop
2,heya
4,total leave days for this year?
8,sorry
4,show me how my vacations look like now
3,thanx
4,How many leave do i have
3,Thanks for that
2,jop
5,no
5,i don't think so
5,i decline
0,definitely yes without a doubt
10,Can I book any leave in 2020?
2,Hey
7,cancel future vacation
3,thanks for the help
0,sure
2,hello friend
2,hey, let's talk
11,this is total bs
3,Thank you so much
2,hey bot
5,i'm not sure
4,how much vacation do i have taken this year?
4,how many vacation days do i have for this year?
13,What are you able to do?
11,stop!
4,how man days of leave do I still have?
5,i don't want to
15,Do you feel good?
5,absolutely not
3,thank you
9,yes you're stupid
2,hi Mister
2,Hi bot
1,how should i address you?
1,can you tell me your name?
4,How many leave days did I take this year?
5,not yet
12,you can go now
10,could i book some vacation?
13,how can i save time with you?
5,no ma'am
2,Bonjour
7,i would need to cancel a booked vacation
2,hello it is me again
4,how many leave days do i have left?
0,cool!
4,annual left
12,bye
10,i would like to take a day off
9,fuck
2,hi balu
2,hi there it's me
3,danke
0,Yes
15,how are things with you?
2,ohai
0,coolio
12,bye for now
10,i'd like book some vacation
2,hi friend
3,cool, thanks
2,hey balu
0,yes that is correct
5,nooo
10,i'd like to take some leave days
13,Can you get us help?
4,how many vacation days
0,okie dokie
0,fine
9,you are lame
11,omg what are you doing?
